                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.7358,                 1.3648,                 1.5023,                 1.1574,                0.01133,                0.78926,                0.01019,                0.00807,                0.01128,                0.78529,                0.01007,                0.00716,                0.82648,                 1.9047,                 58.793,                 1.3288,             0.00023734,             0.00023734,             0.00023734
                      1,                0.81803,                 1.5237,                 1.1279,                 1.2317,                 0.6835,                0.69317,                0.73269,                0.55831,                0.67891,                0.69078,                0.71345,                0.49971,                0.89637,                 1.8182,                 1.1123,                 1.3993,             0.00047064,             0.00047064,             0.00047064
                      2,                0.86153,                 1.5975,                 1.1876,                 1.2546,                 0.6826,                0.79258,                0.77636,                0.59975,                 0.6817,                0.79337,                0.77268,                0.52984,                0.86155,                 1.5919,                 1.0185,                 1.3643,             0.00069922,             0.00069922,             0.00069922
                      3,                0.80837,                 1.4855,                 1.0643,                 1.2147,                0.66127,                 0.7283,                0.71997,                0.55912,                 0.6623,                0.74343,                0.72392,                0.51815,                0.87272,                 1.5267,                 1.2235,                 1.3577,             0.00069279,             0.00069279,             0.00069279
                      4,                0.74173,                 1.3515,                 0.9866,                 1.1662,                0.76442,                0.79563,                0.81649,                0.65494,                0.76802,                0.79655,                0.81794,                0.60714,                0.77816,                 1.3288,                0.91617,                 1.2617,             0.00069279,             0.00069279,             0.00069279
                      5,                0.71886,                 1.2334,                0.92049,                 1.1515,                0.72287,                0.78794,                0.78825,                0.61241,                0.72337,                0.78463,                 0.7843,                0.56183,                0.84446,                  1.437,                0.99016,                 1.3264,             0.00068573,             0.00068573,             0.00068573
                      6,                0.69893,                 1.2174,                0.84686,                 1.1281,                  0.706,                0.79324,                0.81418,                0.62951,                0.72362,                0.76143,                0.80311,                0.58516,                0.86901,                 1.4546,                0.93925,                 1.3471,             0.00067866,             0.00067866,             0.00067866
                      7,                 0.6478,                 1.1096,                0.79914,                 1.0931,                0.73619,                0.73788,                0.82517,                0.64655,                0.73884,                0.74053,                0.82254,                0.60457,                0.79189,                 1.3162,                0.87487,                 1.2815,             0.00067159,             0.00067159,             0.00067159
                      8,                0.62685,                 1.0286,                0.77667,                 1.0876,                0.75297,                0.84957,                0.83776,                0.67561,                0.75037,                0.85355,                0.84031,                0.63578,                0.75506,                 1.2295,                0.79808,                 1.2742,             0.00066452,             0.00066452,             0.00066452
                      9,                0.62468,                 1.0359,                0.73497,                 1.0729,                0.71045,                 0.8615,                0.85343,                0.69725,                0.71546,                0.84162,                0.85021,                0.66197,                0.72422,                  1.299,                0.85803,                 1.2181,             0.00065745,             0.00065745,             0.00065745
                     10,                0.59989,                 1.0165,                0.69928,                 1.0588,                0.71491,                0.81928,                0.81002,                0.65486,                0.70989,                0.81888,                0.80676,                0.61406,                0.73488,                  1.316,                0.85856,                 1.2701,             0.00065038,             0.00065038,             0.00065038
                     11,                0.57213,                0.96287,                 0.6893,                 1.0377,                0.76525,                0.78632,                0.85408,                0.70563,                0.77641,                0.77469,                0.85476,                0.67297,                0.70535,                 1.1424,                0.86472,                 1.2259,             0.00064331,             0.00064331,             0.00064331
                     12,                0.57263,                0.93979,                0.68537,                 1.0457,                0.72185,                0.87608,                0.84248,                 0.6792,                0.72665,                 0.8544,                0.83995,                0.64628,                0.76946,                  1.257,                 0.7495,                 1.3004,             0.00063625,             0.00063625,             0.00063625
                     13,                 0.5629,                0.92485,                0.65542,                  1.036,                0.79967,                0.81445,                0.87215,                0.72424,                0.79862,                0.81577,                0.87028,                0.69896,                 0.7019,                 1.1179,                0.70314,                 1.2065,             0.00062918,             0.00062918,             0.00062918
                     14,                0.53929,                0.87709,                 0.6519,                 1.0182,                0.75483,                0.86508,                0.86649,                0.70436,                0.76038,                0.84891,                0.86234,                0.68306,                0.71388,                 1.1634,                0.73273,                 1.2243,             0.00062211,             0.00062211,             0.00062211
                     15,                0.53123,                0.88051,                0.60991,                 1.0176,                0.78166,                0.81776,                 0.8712,                0.71796,                0.78103,                 0.8171,                0.86665,                0.68724,                0.68833,                 1.0971,                0.73291,                 1.2101,             0.00061504,             0.00061504,             0.00061504
                     16,                0.53296,                0.89676,                0.60069,                 1.0095,                 0.7871,                0.78595,                0.86195,                0.71093,                0.81152,                0.75614,                0.85781,                0.68681,                0.70809,                  1.224,                0.81808,                 1.2121,             0.00060797,             0.00060797,             0.00060797
                     17,                0.52524,                0.84761,                 0.5953,                 1.0042,                0.75297,                0.85487,                0.87291,                0.70877,                0.75597,                0.85487,                0.87187,                  0.696,                0.71675,                 1.0777,                0.70257,                 1.2269,              0.0006009,              0.0006009,              0.0006009
                     18,                0.51609,                0.82838,                0.61234,                 1.0006,                0.79702,                0.83565,                 0.8793,                0.71387,                0.79514,                0.83336,                0.87174,                0.68735,                0.71186,                 1.1756,                0.71789,                 1.2318,             0.00059383,             0.00059383,             0.00059383
                     19,                 0.5051,                0.82441,                0.56858,                0.99847,                0.77689,                0.83764,                0.87932,                0.72478,                0.77628,                0.83698,                0.87875,                0.69603,                0.71837,                 1.1599,                0.69137,                 1.2323,             0.00058677,             0.00058677,             0.00058677
                     20,                0.49445,                0.79387,                0.53987,                0.98955,                0.80158,                0.80252,                0.85691,                  0.696,                0.80192,                0.80318,                0.85507,                0.69161,                0.76833,                 1.1252,                0.72789,                 1.2666,              0.0005797,              0.0005797,              0.0005797
                     21,                0.47892,                 0.7634,                0.54109,                0.97216,                0.77405,                0.83101,                0.87153,                0.73876,                0.77274,                0.83101,                0.87131,                0.71471,                0.66163,                 1.0762,                0.71091,                 1.1845,             0.00057263,             0.00057263,             0.00057263
                     22,                0.47276,                0.74968,                0.53441,                0.97061,                0.80157,                0.81648,                0.87941,                0.72506,                0.80535,                0.80981,                0.87911,                0.70536,                0.71829,                 1.1911,                0.78241,                 1.2171,             0.00056556,             0.00056556,             0.00056556
                     23,                0.45781,                 0.7257,                0.50896,                0.96582,                0.81952,                0.84558,                0.88831,                0.72958,                0.82016,                0.84624,                0.88605,                0.70961,                0.70691,                 1.1399,                0.65037,                 1.2368,             0.00055849,             0.00055849,             0.00055849
                     24,                0.45847,                0.70036,                0.51247,                0.96573,                0.79594,                0.84784,                0.86315,                0.72417,                0.79843,                0.85049,                0.86535,                0.69488,                0.69097,                 1.1149,                 0.7365,                 1.2184,             0.00055142,             0.00055142,             0.00055142
                     25,                 0.4563,                0.75519,                0.49959,                0.96439,                0.77055,                0.89464,                0.87394,                0.72709,                0.76708,                0.89463,                 0.8712,                0.70162,                0.69659,                 1.0876,                 0.6896,                 1.2191,             0.00054435,             0.00054435,             0.00054435
